"";"sub";"run";"type";"z";"roi"
"232";26;"Pre";"within_pair-across_pair";0,00103874583273891;"evc_avg_all_top_300"
"233";27;"IP";"within_pair-across_pair";0,0182852340096732;"evc_avg_all_top_300"
"234";27;"Pre";"within_pair-across_pair";-0,00124682645552955;"evc_avg_all_top_300"
"235";28;"IP";"within_pair-across_pair";0,0126181190843941;"evc_avg_all_top_300"
"236";28;"Pre";"within_pair-across_pair";0,0218438130445114;"evc_avg_all_top_300"
"237";29;"IP";"within_pair-across_pair";0,042804777232435;"evc_avg_all_top_300"
"238";29;"Pre";"within_pair-across_pair";0,0674051639508344;"evc_avg_all_top_300"
"239";31;"IP";"within_pair-across_pair";0,00492447768253933;"evc_avg_all_top_300"
"240";31;"Pre";"within_pair-across_pair";0,0162372354212672;"evc_avg_all_top_300"
"241";32;"IP";"within_pair-across_pair";0,00464079767468957;"evc_avg_all_top_300"
"242";32;"Pre";"within_pair-across_pair";-0,0241067332633177;"evc_avg_all_top_300"
"243";33;"IP";"within_pair-across_pair";-0,0200554176733311;"evc_avg_all_top_300"
"244";33;"Pre";"within_pair-across_pair";-0,0172409555904168;"evc_avg_all_top_300"
"245";35;"IP";"within_pair-across_pair";0,0162445600371506;"evc_avg_all_top_300"
"246";35;"Pre";"within_pair-across_pair";-0,0206223011253276;"evc_avg_all_top_300"
"247";36;"IP";"within_pair-across_pair";-0,002174655175554;"evc_avg_all_top_300"
"248";36;"Pre";"within_pair-across_pair";0,0306176243690622;"evc_avg_all_top_300"
