scene_id;rt;accuracy;confResp;subnum;run;scene_num;high.conf.correct
A2;0.667775372043252;1;1;20;3;2;1
A16;0.902826726902276;1;1;20;3;16;1
B8;1.10248207068071;0;0;20;3;8;0
B6;2.15470274118707;1;1;20;3;6;1
B12;2.00408354494721;0;0;20;3;12;0
B10;1.03601788822562;1;1;20;3;10;1
B0;1.38610930088907;1;1;20;3;0;1
A1;1.18578526051715;1;1;20;3;1;1
B16;0.785038630478084;0;0;20;3;16;0
B2;0.701753564644605;1;1;20;3;2;1
A4;0.50114633794874;0;0;20;3;4;0
B1;1.10228837095201;1;1;20;3;1;1
A9;0.534566842019558;1;0;20;3;9;0
A6;0.701286496128887;1;1;20;3;6;1
B15;1.18602275941521;1;0;20;3;15;0
B14;0.868495495524257;1;1;20;3;14;1
B17;1.45301449811086;0;0;20;3;17;0
B13;0.668308517429978;1;1;20;3;13;1
B5;0.718197621870786;1;0;20;3;5;0
A12;0.952181931119412;1;0;20;3;12;0
B4;0.696542560588568;0;0;20;3;4;0
A13;0.584868642967194;1;1;20;3;13;1
A15;0.768539446406066;0;0;20;3;15;0
B7;1.03551645996049;0;0;20;3;7;0
A0;1.25326740276068;0;0;20;4;0;0
A7;0.985423083882779;1;1;20;4;7;1
B9;0.718230848666281;1;1;20;4;9;1
B7;0.801830817945302;1;1;20;4;7;1
B3;1.13564770715311;1;1;20;4;3;1
B2;0.684859052766114;1;1;20;4;2;1
A15;1.11945889517665;0;0;20;4;15;0
A16;0.752512239385396;1;1;20;4;16;1
A5;0.567938638851047;1;1;20;4;5;1
A17;1.00175877520815;1;1;20;4;17;1
A13;0.60127456439659;1;1;20;4;13;1
A14;0.517846772447228;1;1;20;4;14;1
A2;0.651425710413605;1;1;20;4;2;1
B16;0.551271808333695;1;1;20;4;16;1
A6;1.4696783083491;1;1;20;4;6;1
B12;0.535474170930684;1;1;20;4;12;1
B6;0.885268426500261;1;1;20;4;6;1
B4;1.10142408683896;1;1;20;4;4;1
B17;0.618092805147171;1;1;20;4;17;1
B13;0.500464425422251;1;1;20;4;13;1
B11;0.568021706305444;1;1;20;4;11;1
A3;0.585755960084498;1;1;20;4;3;1
B15;0.902068920433521;0;0;20;4;15;0
B14;0.467759060673416;1;1;20;4;14;1
A9;1.67002462595701;1;1;20;4;9;1
A8;1.18587323650718;0;0;20;4;8;0
A12;0.868368628434837;1;1;20;4;12;1
A1;0.5344422403723;1;1;20;4;1;1
B8;0.885448910761625;1;0;20;4;8;0
A4;1.43626497779042;0;0;20;4;4;0
A10;0.500797452405095;1;1;20;4;10;1
B0;0.968757763970643;1;0;20;4;0;0
B5;0.551191005855799;1;1;20;4;5;1
B1;0.467495508491993;1;1;20;4;1;1
A11;0.468137019779533;1;1;20;4;11;1
B10;0.400959208142012;1;1;20;4;10;1
A11;1.30290994560346;1;1;20;5;11;1
B2;0.701605174690485;1;1;20;5;2;1
B13;0.501298125367612;1;1;20;5;13;1
B9;0.701440549455583;1;1;20;5;9;1
B5;0.56797564169392;1;1;20;5;5;1
B15;0.50129397213459;1;1;20;5;15;1
A4;0.551630133297294;1;1;20;5;4;1
A16;1.10297745792195;0;1;20;5;16;0
A6;0.618111683987081;1;1;20;5;6;1
A3;0.718139851931483;1;1;20;5;3;1
B17;1.08556301612407;1;1;20;5;17;1
A1;0.751612462569028;1;1;20;5;1;1
B3;0.517953250557184;1;1;20;5;3;1
B14;0.552564647514373;1;1;20;5;14;1
B7;1.36989028239623;1;1;20;5;7;1
B16;0.818374178837985;1;1;20;5;16;1
B10;0.517852436285466;1;1;20;5;10;1
A8;2.17123628500849;1;1;20;5;8;1
A7;0.784877025522292;1;1;20;5;7;1
A2;0.684760503936559;1;1;20;5;2;1
B8;1.05239247065037;1;1;20;5;8;1
A15;0.56811421411112;1;1;20;5;15;1
A14;0.517830914352089;1;1;20;5;14;1
A0;1.51974714081734;1;0;20;5;0;0
A9;0.735317550133914;1;1;20;5;9;1
A13;1.23624828876927;1;1;20;5;13;1
A17;1.6530213705264;1;1;20;5;17;1
A10;0.484463649336249;1;1;20;5;10;1
B6;0.568088915664703;1;1;20;5;6;1
B11;0.651624695863575;1;1;20;5;11;1
B4;0.451025775633752;1;1;20;5;4;1
B1;0.467841750942171;1;1;20;5;1;1
B12;0.617956498172134;1;1;20;5;12;1
B0;1.88703513098881;1;0;20;5;0;0
A12;0.46785949729383;1;1;20;5;12;1
A5;0.585672136861831;1;1;20;5;5;1
A13;1.0857899421826;1;1;20;6;13;1
A5;0.501078373286873;1;1;20;6;5;1
A11;0.985336239915341;1;1;20;6;11;1
B17;0.618008981924504;1;1;20;6;17;1
A14;0.617797158658504;1;1;20;6;14;1
B6;0.567974131088704;1;1;20;6;6;1
A0;1.5363248619251;1;1;20;6;0;1
B15;0.584594518877566;1;1;20;6;15;1
A12;1.2524786349386;1;1;20;6;12;1
B16;0.751570550724864;1;1;20;6;16;1
A10;0.768337440211326;1;1;20;6;10;1
B9;0.684725766070187;1;1;20;6;9;1
A4;0.734864074271172;1;1;20;6;4;1
B13;0.517765592783689;1;1;20;6;13;1
B11;1.38628298835829;1;1;20;6;11;1
B14;0.450972914230078;1;1;20;6;14;1
B8;0.634587835520506;1;1;20;6;8;1
B2;0.718128901906312;1;1;20;6;2;1
A7;0.851843391079456;1;1;20;6;7;1
B10;1.28589951666072;1;1;20;6;10;1
B3;0.551064515952021;1;1;20;6;3;1
B0;1.01902105193585;1;1;20;6;0;1
B12;0.501063647679985;1;1;20;6;12;1
B5;0.501108202151954;1;1;20;6;5;1
B1;0.567846508696675;1;1;20;6;1;1
A3;0.751518822275102;1;1;20;6;3;1
A15;0.51763985818252;1;1;20;6;15;1
B4;0.534451679792255;1;1;20;6;4;1
A8;0.901956024114043;1;1;20;6;8;1
A6;0.734905230347067;1;1;20;6;6;1
A9;1.58647185470909;1;1;20;6;9;1
A2;0.718188937287778;1;1;20;6;2;1
A16;1.40237551741302;1;1;20;6;16;1
A1;1.82023641141132;1;1;20;6;1;1
A17;2.57175712147728;1;1;20;6;17;1
B7;1.20323141897097;1;1;20;6;7;1
A9;1.35278783403919;1;1;21;1;9;1
B9;1.3529029963247;1;1;21;1;9;1
B10;1.33617538804538;1;1;21;1;10;1
B6;1.01870537930517;1;1;21;1;6;1
A0;1.68669093761127;0;0;21;1;0;0
A2;1.28591553657316;1;1;21;1;2;1
B15;0.918706738622859;1;1;21;1;15;1
B17;2.12114168511471;0;0;21;1;17;0
A10;2.15446437065839;1;1;21;1;10;1
B0;1.33596847348963;1;0;21;1;0;0
A16;1.50289755917038;0;0;21;1;16;0
A17;1.08563053817488;1;0;21;1;17;0
A7;1.51973315572832;1;1;21;1;7;1
B14;1.21920182325994;1;0;21;1;14;0
B7;1.31944211604423;1;0;21;1;7;0
B12;0.885071415716084;1;1;21;1;12;1
A14;2.60512279698742;0;0;21;1;14;0
A6;0.601273732900154;1;1;21;1;6;1
B4;2.48825571016641;0;0;21;1;4;0
A13;1.55303771735635;1;0;21;1;13;0
