"";"sub";"run";"obj";"type";"z";"roi"
"172";13;"pre-learned";"last";"within_item-across_pair";-0,0097127051232629;"ca23dg_body_thre_0.5"
"173";14;"learned";"first";"within_item-across_pair";0,0144823862494434;"ca23dg_body_thre_0.5"
"174";14;"learned";"last";"within_item-across_pair";-0,0146718577881338;"ca23dg_body_thre_0.5"
"175";14;"pre-learned";"first";"within_item-across_pair";-0,018504600022133;"ca23dg_body_thre_0.5"
"176";14;"pre-learned";"last";"within_item-across_pair";0,0117970218239948;"ca23dg_body_thre_0.5"
"177";17;"learned";"first";"within_item-across_pair";0,00108264740301437;"ca23dg_body_thre_0.5"
"178";17;"learned";"last";"within_item-across_pair";-0,00387352186689603;"ca23dg_body_thre_0.5"
"179";17;"pre-learned";"first";"within_item-across_pair";-0,00209052320448023;"ca23dg_body_thre_0.5"
"180";17;"pre-learned";"last";"within_item-across_pair";-0,0128501878791405;"ca23dg_body_thre_0.5"
"181";18;"learned";"first";"within_item-across_pair";0,0173781766147104;"ca23dg_body_thre_0.5"
"182";18;"learned";"last";"within_item-across_pair";-0,00237166256372514;"ca23dg_body_thre_0.5"
"183";18;"pre-learned";"first";"within_item-across_pair";-0,0140164571360905;"ca23dg_body_thre_0.5"
"184";18;"pre-learned";"last";"within_item-across_pair";-0,0192217496978336;"ca23dg_body_thre_0.5"
"185";19;"learned";"first";"within_item-across_pair";-0,0405200117175324;"ca23dg_body_thre_0.5"
"186";19;"learned";"last";"within_item-across_pair";0,0218801224627853;"ca23dg_body_thre_0.5"
"187";19;"pre-learned";"first";"within_item-across_pair";-0,0126086527227305;"ca23dg_body_thre_0.5"
"188";19;"pre-learned";"last";"within_item-across_pair";-0,0224386180506809;"ca23dg_body_thre_0.5"
"189";20;"learned";"first";"within_item-across_pair";-0,00566223429620205;"ca23dg_body_thre_0.5"
"190";20;"learned";"last";"within_item-across_pair";-0,00319976076131399;"ca23dg_body_thre_0.5"
"191";20;"pre-learned";"first";"within_item-across_pair";0,00916382981670353;"ca23dg_body_thre_0.5"
"192";20;"pre-learned";"last";"within_item-across_pair";-0,0506537751245516;"ca23dg_body_thre_0.5"
"193";21;"learned";"first";"within_item-across_pair";-0,0157405796050649;"ca23dg_body_thre_0.5"
"194";21;"learned";"last";"within_item-across_pair";0,0107093459719407;"ca23dg_body_thre_0.5"
"195";21;"pre-learned";"first";"within_item-across_pair";-0,0039306932374772;"ca23dg_body_thre_0.5"
"196";21;"pre-learned";"last";"within_item-across_pair";-0,0281702658131897;"ca23dg_body_thre_0.5"
"197";22;"learned";"first";"within_item-across_pair";-0,00606259478216727;"ca23dg_body_thre_0.5"
"198";22;"learned";"last";"within_item-across_pair";0,00198766341013048;"ca23dg_body_thre_0.5"
"199";22;"pre-learned";"first";"within_item-across_pair";-0,00129459041161943;"ca23dg_body_thre_0.5"
"200";22;"pre-learned";"last";"within_item-across_pair";0,018297641472095;"ca23dg_body_thre_0.5"
"201";23;"learned";"first";"within_item-across_pair";0,0055334655394933;"ca23dg_body_thre_0.5"
"202";23;"learned";"last";"within_item-across_pair";0,0141897856864073;"ca23dg_body_thre_0.5"
"203";23;"pre-learned";"first";"within_item-across_pair";0,0277986486514751;"ca23dg_body_thre_0.5"
"204";23;"pre-learned";"last";"within_item-across_pair";-0,031459615655811;"ca23dg_body_thre_0.5"
"205";24;"learned";"first";"within_item-across_pair";0,00851411031466294;"ca23dg_body_thre_0.5"
"206";24;"learned";"last";"within_item-across_pair";0,00807559227760643;"ca23dg_body_thre_0.5"
"207";24;"pre-learned";"first";"within_item-across_pair";-0,0062107188347556;"ca23dg_body_thre_0.5"
"208";24;"pre-learned";"last";"within_item-across_pair";-0,000538501827663489;"ca23dg_body_thre_0.5"
"209";25;"learned";"first";"within_item-across_pair";-0,00253296112303357;"ca23dg_body_thre_0.5"
"210";25;"learned";"last";"within_item-across_pair";-0,0275102804710296;"ca23dg_body_thre_0.5"
"211";25;"pre-learned";"first";"within_item-across_pair";0,00571906549707358;"ca23dg_body_thre_0.5"
"212";25;"pre-learned";"last";"within_item-across_pair";0,0601833584457337;"ca23dg_body_thre_0.5"
"213";26;"learned";"first";"within_item-across_pair";0,0254148066241288;"ca23dg_body_thre_0.5"
"214";26;"learned";"last";"within_item-across_pair";0,0112488951268402;"ca23dg_body_thre_0.5"
"215";26;"pre-learned";"first";"within_item-across_pair";0,0031757683460159;"ca23dg_body_thre_0.5"
"216";26;"pre-learned";"last";"within_item-across_pair";-0,0181625198626944;"ca23dg_body_thre_0.5"
"217";27;"learned";"first";"within_item-across_pair";-0,0135626756346692;"ca23dg_body_thre_0.5"
"218";27;"learned";"last";"within_item-across_pair";-0,0139383819121429;"ca23dg_body_thre_0.5"
"219";27;"pre-learned";"first";"within_item-across_pair";0,00958860782549467;"ca23dg_body_thre_0.5"
"220";27;"pre-learned";"last";"within_item-across_pair";0,00703826395269531;"ca23dg_body_thre_0.5"
"221";28;"learned";"first";"within_item-across_pair";0,00837260031012916;"ca23dg_body_thre_0.5"
"222";28;"learned";"last";"within_item-across_pair";0,0296551741407209;"ca23dg_body_thre_0.5"
"223";28;"pre-learned";"first";"within_item-across_pair";0,02656612236085;"ca23dg_body_thre_0.5"
"224";28;"pre-learned";"last";"within_item-across_pair";-0,014929074040549;"ca23dg_body_thre_0.5"
"225";29;"learned";"first";"within_item-across_pair";-0,0306525146800374;"ca23dg_body_thre_0.5"
